,Rinitials,Cinitials,Codedate,LSOA,IMGid,IMGdate,ADid,ASSETid,Long,Lat,ADtype,ADsize,ADprodtype,ADprod,ADbrand,Brandad,Admanagement,Price£,Pricesourcelink,Unit,Portion,Totalwt,Wtsource,Nutritionsource,Nutsourcelink,Fatdensity,Satfatdensity,Sugardensity,Sodiumdensity,Ekcaldensity,Fibredensity,Proteindensity,FVN,NPMscore,NPMstatus,ADcompliance,...1,Latitude,Longitude,file_path,LSOA_naming,lsoa_code,IMD_Q,LSOA_name
248,VJ,VJ,23/05/2023,E01011397,20230523_093239,23/05/2023,GS_MRFF_22_03,GS_MRFF_22,NA,NA,6,2,5,Northern,Northern,1,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7919832,-1.3689749,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011397_Q5_MeadowRoadFirthfieldsEastGarforth\20230523_093239.jpg,E01011397_Q5_MeadowRoadFirthfieldsEastGarforth,E01011397,Q5,MeadowRoadFirthfieldsEastGarforth
249,VJ,VJ,23/05/2023,E01033021,20230523_110708,23/05/2023,BR_UARD_01_01,BR_UARD_01,NA,NA,1,2,2,Lucozade Pink Lemonade zero,Lucozade,0,Clear Channel,1.7,https://www.tesco.com/groceries/en-GB/products/292215645?sc_cmp=ppc*GHS+-+Grocery+-+New*MPX_PMAX_All_OT_Top+Offers_Online+Budget_1009392**292215645*&gclid=Cj0KCQjwjryjBhD0ARIsAMLvnF-t2X6e9Gk2X8CTPEnOoAehs-E1kpANDvzfggabThQqo9L1DRKgWE4aAhXVEALw_wcB&gclsrc=aw.ds,ml,500,500,https://www.tesco.com/groceries/en-GB/products/292215645?sc_cmp=ppc*GHS+-+Grocery+-+New*MPX_PMAX_All_OT_Top+Offers_Online+Budget_1009392**292215645*&gclid=Cj0KCQjwjryjBhD0ARIsAMLvnF-t2X6e9Gk2X8CTPEnOoAehs-E1kpANDvzfggabThQqo9L1DRKgWE4aAhXVEALw_wcB&gclsrc=aw.ds,3,https://www.tesco.com/groceries/en-GB/products/292215645?sc_cmp=ppc*GHS+-+Grocery+-+New*MPX_PMAX_All_OT_Top+Offers_Online+Budget_1009392**292215645*&gclid=Cj0KCQjwjryjBhD0ARIsAMLvnF-t2X6e9Gk2X8CTPEnOoAehs-E1kpANDvzfggabThQqo9L1DRKgWE4aAhXVEALw_wcB&gclsrc=aw.ds,0,0,0.1,16,7,0,0,0,0,0,0,0,53.79285108,-1.522870436,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_110708.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
250,VJ,VJ,23/05/2023,E01033021,20230523_110720,23/05/2023,BR_UARD_02_01,BR_UARD_02,NA,NA,1,2,5,B&Q,B&Q,1,Clear Channel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7930443,-1.5228377,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_110720.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
251,VJ,VJ,23/05/2023,E01033021,20230523_110822,23/05/2023,BR_UARD_03_01,BR_UARD_03,NA,NA,11,1,5,Littering fine,Leeds City Council,0,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7927322,-1.5228694,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_110822.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
252,VJ,VJ,23/05/2023,E01033021,20230523_111838,23/05/2023,BR_UARD_04_01,BR_UARD_04,NA,NA,13,2,5,BT Full Fibre Broadband,BT,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7950473,-1.5285684,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_111838.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
253,VJ,VJ,23/05/2023,E01033021,20230523_111909,23/05/2023,BR_UARD_05_01,BR_UARD_05,NA,NA,11,1,5,Littering fine,Leeds City Council,0,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7950143,-1.529191,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_111909.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
254,VJ,VJ,23/05/2023,E01033021,20230523_113000,23/05/2023,BR_UARD_06_01,BR_UARD_06,NA,NA,10,2,5,Strictly Ballroom the musical,The Grand Theatre & Opera House Leeds,0,Street Sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7982012,-1.5285407,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_113000.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
255,VJ,VJ,23/05/2023,E01033021,20230523_113000,23/05/2023,BR_UARD_06_02,BR_UARD_06,NA,NA,10,2,5,Leeds Poetry Festival 2023,Leeds Poetry Festival,0,Street Sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7982012,-1.5285407,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_113000.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
256,VJ,VJ,23/05/2023,E01033021,20230523_113015,23/05/2023,BR_UARD_06_03,BR_UARD_06,NA,NA,10,2,5,Of Mice and Men (play),Leeds Play House,0,Street Sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7981859,-1.5284707,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_113015.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
257,VJ,VJ,23/05/2023,E01033021,20230523_113015,23/05/2023,BR_UARD_06_04,BR_UARD_06,NA,NA,10,2,5,High performance podcast live tour,High Performance Podcast,0,Street Sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7981859,-1.5284707,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_113015.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
258,VJ,VJ,23/05/2023,E01033021,20230523_113015,23/05/2023,BR_UARD_06_05,BR_UARD_06,NA,NA,10,2,5,The Commitments (musical),The Grand Theatre & Opera House Leeds,0,Street Sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7981859,-1.5284707,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_113015.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
259,VJ,VJ,23/05/2023,E01033021,20230523_113025,23/05/2023,BR_UARD_06_06,BR_UARD_06,NA,NA,10,2,5,The Commitments (musical),The Grand Theatre & Opera House Leeds,0,Street Sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7981582,-1.5286492,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_113025.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
260,VJ,VJ,23/05/2023,E01033021,20230523_113025,23/05/2023,BR_UARD_06_07,BR_UARD_06,NA,NA,10,2,5,Strictly Ballroom the musical,The Grand Theatre & Opera House Leeds,0,Street Sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7981582,-1.5286492,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_113025.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
261,VJ,VJ,23/05/2023,E01033021,20230523_113025,23/05/2023,BR_UARD_06_08,BR_UARD_06,NA,NA,10,2,5,Beat Herder (festival),Beat-Herder Festival,0,Street Sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7981582,-1.5286492,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_113025.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
262,VJ,VJ,23/05/2023,E01033021,20230523_113033,23/05/2023,BR_UARD_06_09,BR_UARD_06,NA,NA,10,2,5,Beat Herder (festival),Beat-Herder Festival,0,Street Sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7981108,-1.5284699,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_113033.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
263,VJ,VJ,23/05/2023,E01033021,20230523_113033,23/05/2023,BR_UARD_06_10,BR_UARD_06,NA,NA,10,2,5,Leeds Tattoo Expo,Leeds Tattoo Expo,0,Street Sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7981108,-1.5284699,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_113033.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
264,VJ,VJ,23/05/2023,E01033021,20230523_113538,23/05/2023,BR_UARD_07_01,BR_UARD_07,NA,NA,4,3,5,motorway (car buying company),motorway,1,Clear Channel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7977411,-1.522829,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_113538.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
265,VJ,VJ,23/05/2023,E01033021,20230523_113831,23/05/2023,BR_UARD_08_01,BR_UARD_08,NA,NA,14,2,5,The gym group,The gym group,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.79784393,-1.520840422,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_113831.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
266,VJ,VJ,23/05/2023,E01033021,20230523_115503,23/05/2023,BR_UARD_09_01,BR_UARD_09,NA,NA,11,1,5,Fly tipping,Leeds City Council,0,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7956641,-1.5167688,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_115503.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
267,VJ,VJ,23/05/2023,E01033021,20230523_115524,23/05/2023,BR_UARD_10_01,BR_UARD_10,NA,NA,14,2,1,"Chicken, burgers, kebabs",ChicKing,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7951884,-1.5173705,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_115524.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
268,VJ,VJ,23/05/2023,E01033021,20230523_115524,23/05/2023,BR_UARD_10_01,BR_UARD_10,NA,NA,14,2,1,"Chicken, burgers, kebabs",ChicKing,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7951884,-1.5173705,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01033021_Q2_UpperAccommodationRd\20230523_115524.jpg,E01033021_Q2_UpperAccommodationRd,E01033021,Q2,UpperAccommodationRd
269,VJ,VJ,23/05/2023,E01011363,20230519_093817,19/05/2023,AY_HFCA_01_01,AY_HFCA_01,NA,NA,1,2,5,Halifax Bank,Halifax Bank,1,Clear Channel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.8040408,-1.5743566,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\20230519_093817.jpg,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
270,VJ,VJ,23/05/2023,E01011363,20230519_093841,19/05/2023,AY_HFCA_02_01,AY_HFCA_02,NA,NA,12,1,5,"Guttering, fascias and soffits",GFS Plastics,1,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.8040108,-1.5742737,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\20230519_093841.jpg,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
271,VJ,VJ,23/05/2023,E01011363,20230519_094110,19/05/2023,AY_HFCA_03_01,AY_HFCA_03,NA,NA,1,2,3,Madri beer,Madri,0,Clear Channel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.8040471,-1.5743389,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\20230519_094110.jpg,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
272,VJ,VJ,23/05/2023,E01011363,20230519_094250,19/05/2023,AY_HFCA_04_01,AY_HFCA_04,NA,NA,12,1,5,"Guttering, fascias and soffits",GFS Plastics,1,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.804034,-1.5742263,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\20230519_094250.jpg,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
273,IW,VJ,23/05/2023,E01011363,IMG_5001,19/05/2023,AY_HFCA_05_01,AY_HFCA_05,NA,NA,12,1,5,Archive coffee house and event space,Archive,1,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.80256389,-1.571644444,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\IMG_5001.JPG,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
274,VJ,VJ,23/05/2023,E01011363,20230519_094853,19/05/2023,AY_HFCA_06_01,AY_HFCA_06,NA,NA,1,2,1,McDonald's BIG Tasty,McDonald's,0,Clear Channel,5.49,https://mcdonalds-menu.co.uk/,g,290,290,SL image Big Tasty with Bacon = 310 - 20g (1 rasher of streaky bacon FSA portion book pg 54),2,https://www.mcdonalds.com/gb/en-gb/product/big-tasty.html,15.86,6.21,3.45,455,275,1.52,15.52,2,13,1,1,0,53.803829,-1.5739851,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\20230519_094853.jpg,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
275,VJ,VJ,23/05/2023,E01011363,20230519_094902,19/05/2023,AY_HFCA_07_01,AY_HFCA_07,NA,NA,1,2,1,KFC Hot Wing Bucket (20 wings),KFC,0,Clear Channel,5.99,https://www.kfc.co.uk/kfc-hot-wings-bucket,g,73,1460,"FSA book, pg 58 fried chicken wing with bone",2,https://www.kfc.co.uk/nutrition-allergens?close,8.49,1.23,0.14,191.78,123.29,0,6.71,0,0,0,0,0,53.8038441,-1.5739283,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\20230519_094902.jpg,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
276,IW,VJ,23/05/2023,E01011363,IMG_5002,19/05/2023,AY_HFCA_08_01,AY_HFCA_08,NA,NA,12,1,5,Prime studios,Prime studios,1,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.80231111,-1.571075,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\IMG_5002.JPG,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
277,IW,VJ,23/05/2023,E01011363,IMG_5003,19/05/2023,AY_HFCA_09_01,AY_HFCA_09,NA,NA,12,1,5,Prime studios,Prime studios,1,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.80205278,-1.570425,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\IMG_5003.JPG,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
278,IW,VJ,23/05/2023,E01011363,IMG_5004,19/05/2023,AY_HFCA_09_02,AY_HFCA_09,NA,NA,12,1,5,Archive coffee house and event space,Archive,1,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.80204444,-1.570433333,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\IMG_5004.JPG,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
279,IW,VJ,23/05/2023,E01011363,IMG_5005,19/05/2023,AY_HFCA_10_01,AY_HFCA_10,NA,NA,12,1,5,Akbar's curry house,Akbar's,1,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.801225,-1.568666667,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\IMG_5005.JPG,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
280,VJ,VJ,23/05/2023,E01011363,20230519_095437,19/05/2023,AY_HFCA_11_01,AY_HFCA_11,NA,NA,1,2,1,KFC Hot Wing Bucket (20 wings),KFC,0,Clear Channel,5.99,https://www.kfc.co.uk/kfc-hot-wings-bucket,g,73,1460,"FSA book, pg 58 fried chicken wing with bone",2,https://www.kfc.co.uk/nutrition-allergens?close,8.49,1.23,0.14,191.78,123.29,0,6.71,0,0,0,0,0,53.8012189,-1.5682449,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\20230519_095437.jpg,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
281,VJ,VJ,23/05/2023,E01011363,20230519_095449,19/05/2023,AY_HFCA_12_01,AY_HFCA_12,NA,NA,1,2,3,Madri beer,Madri,0,Clear Channel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.801156,-1.5681024,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\20230519_095449.jpg,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
282,IW,VJ,23/05/2023,E01011363,IMG_5006,19/05/2023,AY_HFCA_13_01,AY_HFCA_13,NA,NA,12,1,1,Akbar's curry house,Akbar's,1,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.80096111,-1.567666667,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\IMG_5006.JPG,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
283,IW,VJ,23/05/2023,E01011363,IMG_5007,19/05/2023,AY_HFCA_14_01,AY_HFCA_14,NA,NA,12,1,1,Akbar's curry house,Akbar's,1,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.80083333,-1.567791667,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\IMG_5007.JPG,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
284,IW,VJ,23/05/2023,E01011363,IMG_5011,19/05/2023,AY_HFCA_15_01,AY_HFCA_15,NA,NA,4,3,5,FCA advice,Financial Conduct Authority,1,JCDecaux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.80072778,-1.567419444,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\IMG_5011.JPG,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
285,IW,VJ,23/05/2023,E01011363,IMG_5013,19/05/2023,AY_HFCA_15_02,AY_HFCA_15,NA,NA,4,3,5,Sainsbury's shirts,"Tu, Sainsbury's",0,JCDecaux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.80072778,-1.567419444,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\IMG_5013.JPG,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
286,IW,VJ,23/05/2023,E01011363,IMG_5015,19/05/2023,AY_HFCA_15_03,AY_HFCA_15,NA,NA,4,3,4,Sky Vegas Online Casino,Sky Vegas,1,JCDecaux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.80073889,-1.567413889,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\IMG_5015.JPG,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
287,IW,VJ,23/05/2023,E01011363,IMG_5016,19/05/2023,AY_HFCA_15_04,AY_HFCA_15,NA,NA,4,3,5,Barclays Corporate Banking,Barclays bank,0,JCDecaux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.80074444,-1.567408333,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\IMG_5016.JPG,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
288,IW,VJ,23/05/2023,E01011363,IMG_5017,19/05/2023,AY_HFCA_15_05,AY_HFCA_15,NA,NA,4,3,5,Sainsbury's girls jumpsuit,"Tu, Sainsbury's",0,JCDecaux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.800775,-1.567363889,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\IMG_5017.JPG,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
289,IW,VJ,23/05/2023,E01011363,IMG_5019,19/05/2023,AY_HFCA_15_06,AY_HFCA_15,NA,NA,4,3,5,FCA advice,Financial Conduct Authority,1,JCDecaux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.80078056,-1.567413889,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\IMG_5019.JPG,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
290,VJ,VJ,23/05/2023,E01011363,20230519_095657,19/05/2023,AY_HFCA_16_01,AY_HFCA_16,NA,NA,12,1,5,Ideal Carpets & furniture,Ideal Carpets & furniture,1,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.8009658,-1.5675777,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\20230519_095657.jpg,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
291,IW,VJ,23/05/2023,E01011363,IMG_5020,19/05/2023,AY_HFCA_17_01,AY_HFCA_17,NA,NA,12,1,1,Akbar's curry house,Akbar's,1,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.800725,-1.567269444,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\IMG_5020.JPG,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
292,VJ,VJ,23/05/2023,E01011363,20230519_095803,19/05/2023,AY_HFCA_18_01,AY_HFCA_18,NA,NA,4,3,5,Barclays Corporate Banking,Barclays bank,0,JCDecaux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.8008561,-1.56762,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\20230519_095803.jpg,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
293,VJ,VJ,23/05/2023,E01011363,20230519_095958,19/05/2023,AY_HFCA_19_01,AY_HFCA_19,NA,NA,12,1,5,Ideal Carpets & furniture,Ideal Carpets & furniture,1,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.800857,-1.5671166,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\20230519_095958.jpg,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
294,IW,VJ,23/05/2023,E01011363,IMG_5021,19/05/2023,AY_HFCA_20_01,AY_HFCA_20,NA,NA,12,1,5,1 click decorating centre,1Click,1,Leeds City Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.79994167,-1.565161111,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011363_Q1_HoldforthsClydeApproach\IMG_5021.JPG,E01011363_Q1_HoldforthsClydeApproach,E01011363,Q1,HoldforthsClydeApproach
